  M/Msun     logT  logL/Ls   logg    Mv     U-B    B-V    V-R    V-I    V-J    V-H    V-K    V-L    V-M    num(x=-1)  num(x=1.35)   num(x=3)
 0.8303736  3.6609  2.9462  1.0067 -2.164  0.424  0.991  0.583  1.139  1.830  2.384  2.514  2.612  3.292  1.0157E-02  6.8497E-03  4.5777E-03
 0.8303786  3.6602  2.9618  0.9881 -2.198  0.435  0.999  0.587  1.145  1.838  2.394  2.525  2.623  3.304  9.9923E-03  6.7388E-03  4.5035E-03
 0.8303836  3.6594  2.9771  0.9697 -2.231  0.447  1.006  0.590  1.151  1.846  2.404  2.535  2.633  3.315  9.4773E-03  6.3914E-03  4.2713E-03
 0.8303881  3.6587  2.9921  0.9517 -2.263  0.458  1.015  0.594  1.157  1.855  2.414  2.546  2.644  3.328  8.9088E-03  6.0080E-03  4.0150E-03
 0.8303925  3.6579  3.0069  0.9339 -2.294  0.470  1.023  0.598  1.164  1.864  2.424  2.556  2.655  3.340  8.8157E-03  5.9451E-03  3.9730E-03
 0.8303969  3.6572  3.0215  0.9163 -2.326  0.481  1.030  0.602  1.170  1.872  2.434  2.567  2.666  3.352  8.7367E-03  5.8918E-03  3.9373E-03
 0.8304012  3.6564  3.0359  0.8990 -2.356  0.492  1.038  0.605  1.177  1.881  2.443  2.577  2.677  3.364  8.5378E-03  5.7575E-03  3.8476E-03
 0.8304055  3.6557  3.0502  0.8819 -2.386  0.503  1.046  0.609  1.183  1.889  2.453  2.588  2.688  3.376  8.4557E-03  5.7021E-03  3.8105E-03
 0.8304097  3.6550  3.0643  0.8651 -2.415  0.514  1.054  0.613  1.190  1.898  2.463  2.598  2.698  3.387  8.3874E-03  5.6560E-03  3.7796E-03
 0.8304139  3.6544  3.0782  0.8484 -2.444  0.525  1.062  0.616  1.196  1.906  2.472  2.608  2.709  3.399  8.8248E-03  5.9509E-03  3.9767E-03
 0.8304185  3.6537  3.0919  0.8320 -2.473  0.535  1.069  0.620  1.203  1.914  2.482  2.618  2.719  3.410  9.8946E-03  6.6722E-03  4.4587E-03
 0.8304237  3.6530  3.1054  0.8158 -2.501  0.546  1.077  0.624  1.209  1.923  2.491  2.629  2.730  3.422  1.0405E-02  7.0162E-03  4.6885E-03
 0.8304289  3.6523  3.1187  0.7999 -2.529  0.557  1.084  0.628  1.216  1.931  2.501  2.639  2.741  3.433  1.0269E-02  6.9242E-03  4.6270E-03
 0.8304340  3.6517  3.1318  0.7841 -2.556  0.568  1.091  0.632  1.223  1.939  2.511  2.649  2.751  3.444  1.0771E-02  7.2626E-03  4.8531E-03
 0.8304397  3.6510  3.1448  0.7685 -2.583  0.578  1.099  0.636  1.229  1.948  2.520  2.659  2.761  3.456  1.1767E-02  7.9346E-03  5.3020E-03
 0.8304458  3.6504  3.1577  0.7532 -2.609  0.588  1.106  0.639  1.235  1.956  2.530  2.669  2.772  3.467  1.2115E-02  8.1687E-03  5.4584E-03
 0.8304518  3.6498  3.1703  0.7380 -2.635  0.598  1.113  0.643  1.241  1.964  2.539  2.679  2.782  3.478  1.1958E-02  8.0630E-03  5.3877E-03
 0.8304577  3.6492  3.1829  0.7230 -2.661  0.608  1.120  0.646  1.247  1.972  2.548  2.689  2.792  3.489  1.2088E-02  8.1505E-03  5.4461E-03
 0.8304639  3.6486  3.1952  0.7083 -2.686  0.618  1.127  0.650  1.254  1.980  2.558  2.699  2.802  3.500  1.2466E-02  8.4052E-03  5.6162E-03
 0.8304702  3.6480  3.2075  0.6937 -2.711  0.628  1.135  0.654  1.260  1.988  2.567  2.708  2.812  3.511  1.2557E-02  8.4665E-03  5.6571E-03
 0.8304764  3.6474  3.2195  0.6793 -2.736  0.637  1.142  0.657  1.267  1.996  2.576  2.718  2.821  3.521  1.2399E-02  8.3598E-03  5.5858E-03
 0.8304826  3.6468  3.2315  0.6651 -2.760  0.647  1.149  0.661  1.273  2.004  2.585  2.727  2.831  3.532  1.2244E-02  8.2550E-03  5.5157E-03
 0.8304887  3.6462  3.2432  0.6510 -2.784  0.657  1.156  0.665  1.279  2.011  2.594  2.736  2.841  3.542  6.0836E-03  4.1015E-03  2.7404E-03
