#Z=0.000386 Y=0.230772 OS=0.20 l/Hp=1.743201 [Fe/H]=   -2.000 [Alpha/Fe]= 0.40
  M/Msun     logT  logL/Ls   logg    Mv     U-B    B-V    V-R    V-I    V-J    V-H    V-K    V-L    V-M    num(x=-1)  num(x=1.35)   num(x=3)
#age(Gyr)=12.000 140 points
 0.8334733  3.7030  1.8432  2.2796  0.438  0.009  0.704  0.458  0.922  1.522  2.007  2.112  2.192  2.789  1.8060E-01  1.2074E-01  8.0194E-02
 0.8335580  3.7015  1.8792  2.2379  0.352  0.017  0.710  0.462  0.929  1.530  2.019  2.124  2.204  2.804  1.6430E-01  1.0982E-01  7.2928E-02
 0.8336376  3.7001  1.9144  2.1969  0.267  0.026  0.716  0.466  0.935  1.539  2.031  2.136  2.216  2.819  1.5234E-01  1.0180E-01  6.7594E-02
 0.8337104  3.6987  1.9492  2.1566  0.184  0.036  0.722  0.469  0.942  1.547  2.041  2.148  2.227  2.833  1.3457E-01  8.9905E-02  5.9688E-02
 0.8337722  3.6973  1.9832  2.1171  0.102  0.046  0.729  0.473  0.947  1.555  2.052  2.160  2.238  2.847  1.1983E-01  8.0042E-02  5.3133E-02
 0.8338302  3.6959  2.0163  2.0782  0.023  0.056  0.736  0.476  0.953  1.563  2.062  2.171  2.250  2.861  1.1455E-01  7.6501E-02  5.0776E-02
 0.8338867  3.6944  2.0487  2.0401 -0.055  0.067  0.745  0.479  0.958  1.571  2.072  2.182  2.261  2.875  1.1334E-01  7.5682E-02  5.0227E-02
 0.8339435  3.6930  2.0805  2.0026 -0.131  0.079  0.753  0.482  0.964  1.579  2.082  2.193  2.273  2.888  1.2812E-01  8.5538E-02  5.6762E-02
 0.8340149  3.6916  2.1117  1.9657 -0.207  0.091  0.762  0.486  0.969  1.586  2.092  2.203  2.284  2.901  1.3904E-01  9.2808E-02  6.1578E-02
 0.8340826  3.6902  2.1425  1.9295 -0.281  0.104  0.771  0.489  0.974  1.593  2.101  2.213  2.294  2.913  1.2834E-01  8.5654E-02  5.6824E-02
 0.8341432  3.6888  2.1727  1.8938 -0.354  0.117  0.780  0.492  0.979  1.600  2.111  2.223  2.305  2.925  1.1022E-01  7.3549E-02  4.8787E-02
 0.8341928  3.6875  2.2023  1.8588 -0.425  0.130  0.789  0.495  0.984  1.607  2.120  2.233  2.316  2.937  8.8339E-02  5.8938E-02  3.9092E-02
 0.8342315  3.6861  2.2312  1.8245 -0.494  0.144  0.799  0.498  0.989  1.614  2.129  2.243  2.327  2.949  7.0979E-02  4.7351E-02  3.1404E-02
 0.8342638  3.6847  2.2595  1.7907 -0.562  0.158  0.809  0.501  0.994  1.622  2.138  2.254  2.338  2.962  6.1067E-02  4.0734E-02  2.7014E-02
 0.8342926  3.6834  2.2873  1.7574 -0.628  0.173  0.818  0.504  0.999  1.629  2.147  2.264  2.349  2.974  5.5652E-02  3.7119E-02  2.4615E-02
 0.8343194  3.6820  2.3146  1.7247 -0.693  0.188  0.828  0.507  1.004  1.637  2.157  2.274  2.361  2.987  5.2631E-02  3.5102E-02  2.3276E-02
 0.8343452  3.6807  2.3414  1.6926 -0.757  0.203  0.838  0.510  1.009  1.645  2.167  2.285  2.372  3.000  5.0320E-02  3.3558E-02  2.2251E-02
 0.8343697  3.6794  2.3677  1.6610 -0.819  0.218  0.848  0.513  1.015  1.653  2.177  2.296  2.384  3.013  4.7606E-02  3.1746E-02  2.1048E-02
 0.8343929  3.6780  2.3935  1.6300 -0.879  0.233  0.858  0.517  1.021  1.661  2.188  2.307  2.396  3.027  4.3330E-02  2.8893E-02  1.9156E-02
 0.8344131  3.6767  2.4189  1.5995 -0.938  0.248  0.868  0.520  1.027  1.670  2.199  2.319  2.408  3.041  3.9207E-02  2.6142E-02  1.7331E-02
 0.8344321  3.6755  2.4439  1.5694 -0.997  0.262  0.877  0.523  1.033  1.679  2.211  2.331  2.421  3.054  3.6792E-02  2.4531E-02  1.6263E-02
 0.8344499  3.6742  2.4686  1.5398 -1.054  0.277  0.887  0.527  1.039  1.688  2.222  2.344  2.434  3.068  3.4912E-02  2.3276E-02  1.5430E-02
 0.8344670  3.6730  2.4927  1.5107 -1.109  0.292  0.896  0.530  1.045  1.698  2.234  2.356  2.447  3.083  3.3398E-02  2.2265E-02  1.4760E-02
 0.8344833  3.6718  2.5164  1.4821 -1.163  0.307  0.906  0.534  1.052  1.708  2.247  2.369  2.460  3.097  3.1283E-02  2.0854E-02  1.3824E-02
 0.8344983  3.6705  2.5395  1.4540 -1.215  0.323  0.916  0.538  1.058  1.718  2.259  2.382  2.474  3.112  2.9749E-02  1.9831E-02  1.3145E-02
 0.8345130  3.6693  2.5622  1.4263 -1.266  0.339  0.926  0.542  1.064  1.728  2.272  2.395  2.488  3.127  2.7665E-02  1.8441E-02  1.2224E-02
 0.8345259  3.6681  2.5844  1.3991 -1.315  0.356  0.936  0.546  1.071  1.740  2.286  2.409  2.503  3.143  2.5401E-02  1.6931E-02  1.1222E-02
 0.8345384  3.6668  2.6063  1.3724 -1.364  0.372  0.947  0.550  1.078  1.751  2.299  2.423  2.517  3.159  2.4339E-02  1.6222E-02  1.0752E-02
 0.8345503  3.6656  2.6278  1.3461 -1.411  0.389  0.957  0.554  1.086  1.762  2.313  2.438  2.532  3.175  2.3327E-02  1.5548E-02  1.0305E-02
 0.8345617  3.6644  2.6490  1.3202 -1.458  0.406  0.967  0.558  1.092  1.773  2.327  2.452  2.547  3.191  2.2762E-02  1.5170E-02  1.0055E-02
 0.8345730  3.6633  2.6698  1.2947 -1.504  0.423  0.977  0.562  1.099  1.784  2.341  2.466  2.562  3.206  2.1031E-02  1.4017E-02  9.2898E-03
 0.8345828  3.6621  2.6902  1.2696 -1.548  0.440  0.988  0.566  1.107  1.796  2.355  2.481  2.578  3.223  1.9240E-02  1.2823E-02  8.4983E-03
 0.8345923  3.6609  2.7101  1.2449 -1.590  0.457  0.998  0.570  1.114  1.808  2.370  2.496  2.594  3.239  1.8697E-02  1.2461E-02  8.2581E-03
 0.8346015  3.6597  2.7298  1.2206 -1.632  0.475  1.009  0.574  1.122  1.820  2.384  2.511  2.609  3.255  1.8209E-02  1.2135E-02  8.0420E-03
