# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Tue Jul  9 20:54:27 CEST 2019
# isochrones based on PARSEC release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: DECAM (ABmags)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label 	 mbolmag  umag    gmag    rmag    imag    zmag    Ymag
9.8116e-05 -2.19174 9.00000 1.7054562569 2.5534939766    1.705  1.636  4.0570  4.214    1 0.680 1.377 1.129 1.464 1.722 1.872 1.940
9.8116e-05 -2.19174 9.00000 1.7095222473 2.5537426472    1.709  1.646  4.0561  4.201    1 0.656 1.348 1.100 1.434 1.692 1.841 1.910
9.8116e-05 -2.19174 9.00000 1.7129257917 2.5539498329    1.712  1.657  4.0588  4.202    1 0.628 1.328 1.086 1.422 1.681 1.831 1.900
9.8116e-05 -2.19174 9.00000 1.7188559771 2.5543084145    1.718  1.681  4.0686  4.218    1 0.567 1.302 1.076 1.418 1.680 1.836 1.907
9.8116e-05 -2.19174 9.00000 1.7202646732 2.5543930531    1.719  1.697  4.0790  4.244    1 0.528 1.301 1.091 1.439 1.704 1.866 1.939
9.8116e-05 -2.19174 9.00000 1.7208714485 2.5544295311    1.720  1.716  4.0894  4.267    1 0.481 1.295 1.100 1.453 1.722 1.889 1.964
9.8116e-05 -2.19174 9.00000 1.7212063074 2.5544495583    1.720  1.738  4.0986  4.282    1 0.425 1.275 1.094 1.452 1.724 1.895 1.973
9.8116e-05 -2.19174 9.00000 1.7212600708 2.5544528961    1.720  1.742  4.0998  4.283    1 0.416 1.271 1.091 1.450 1.722 1.894 1.972
9.8116e-05 -2.19174 9.00000 1.7213242054 2.5544567108    1.720  1.738  4.0964  4.273    1 0.426 1.266 1.082 1.439 1.711 1.881 1.958
9.8116e-05 -2.19174 9.00000 1.7214461565 2.5544641018    1.720  1.733  4.0894  4.250    2 0.437 1.250 1.056 1.410 1.679 1.845 1.921
9.8116e-05 -2.19174 9.00000 1.7216051817 2.5544736385    1.721  1.747  4.0792  4.196    2 0.403 1.173 0.968 1.316 1.582 1.742 1.816
9.8116e-05 -2.19174 9.00000 1.7218464613 2.5544879436    1.721  1.769  4.0693  4.134    2 0.347 1.075 0.859 1.202 1.465 1.619 1.691
9.8116e-05 -2.19174 9.00000 1.7222011089 2.5545094013    1.721  1.785  4.0591  4.077    2 0.307 0.994 0.766 1.104 1.363 1.510 1.581
9.8116e-05 -2.19174 9.00000 1.7226818800 2.5545382500    1.722  1.797  4.0489  4.025    2 0.278 0.926 0.685 1.017 1.273 1.413 1.482
9.8116e-05 -2.19174 9.00000 1.7232832909 2.5545742512    1.722  1.807  4.0384  3.973    2 0.254 0.864 0.608 0.934 1.186 1.319 1.386
9.8116e-05 -2.19174 9.00000 1.7239513397 2.5546140671    1.723  1.815  4.0274  3.921    2 0.232 0.805 0.533 0.851 1.098 1.225 1.290
9.8116e-05 -2.19174 9.00000 1.7246130705 2.5546536446    1.724  1.823  4.0159  3.867    2 0.212 0.750 0.458 0.768 1.011 1.131 1.192
9.8116e-05 -2.19174 9.00000 1.7252178192 2.5546898842    1.724  1.830  4.0039  3.812    2 0.194 0.700 0.385 0.686 0.924 1.037 1.095
9.8116e-05 -2.19174 9.00000 1.7257477045 2.5547213554    1.725  1.836  3.9916  3.757    2 0.179 0.654 0.317 0.608 0.839 0.945 1.000
9.8116e-05 -2.19174 9.00000 1.7262052298 2.5547487736    1.725  1.842  3.9791  3.702    2 0.166 0.617 0.256 0.534 0.757 0.856 0.908
9.8116e-05 -2.19174 9.00000 1.7266004086 2.5547723770    1.726  1.846  3.9666  3.648    2 0.156 0.589 0.202 0.465 0.680 0.772 0.821
9.8116e-05 -2.19174 9.00000 1.7269446850 2.5547928810    1.726  1.849  3.9540  3.594    2 0.147 0.569 0.156 0.403 0.608 0.693 0.738
9.8116e-05 -2.19174 9.00000 1.7272471189 2.5548107624    1.726  1.852  3.9415  3.541    2 0.141 0.556 0.120 0.347 0.540 0.618 0.661
9.8116e-05 -2.19174 9.00000 1.7275160551 2.5548269749    1.727  1.854  3.9290  3.489    2 0.136 0.551 0.094 0.298 0.477 0.550 0.589
9.8116e-05 -2.19174 9.00000 1.7277575731 2.5548412800    1.727  1.855  3.9165  3.438    2 0.132 0.554 0.082 0.256 0.419 0.487 0.524
9.8116e-05 -2.19174 9.00000 1.7279764414 2.5548541546    1.727  1.856  3.9041  3.388    2 0.129 0.564 0.081 0.219 0.364 0.427 0.462
9.8116e-05 -2.19174 9.00000 1.7281759977 2.5548660755    1.727  1.857  3.8917  3.337    2 0.128 0.580 0.090 0.189 0.314 0.373 0.406
9.8116e-05 -2.19174 9.00000 1.7283589840 2.5548770428    1.727  1.857  3.8794  3.288    2 0.127 0.604 0.110 0.167 0.271 0.325 0.356
9.8116e-05 -2.19174 9.00000 1.7285276651 2.5548870564    1.728  1.857  3.8670  3.239    2 0.128 0.633 0.135 0.151 0.232 0.282 0.310
9.8116e-05 -2.19174 9.00000 1.7286839485 2.5548963547    1.728  1.856  3.8547  3.190    2 0.129 0.666 0.165 0.140 0.198 0.241 0.267
9.8116e-05 -2.19174 9.00000 1.7288297415 2.5549049377    1.728  1.856  3.8423  3.141    2 0.131 0.703 0.198 0.132 0.167 0.204 0.226
9.8116e-05 -2.19174 9.00000 1.7289671898 2.5549132824    1.728  1.855  3.8299  3.093    2 0.134 0.744 0.233 0.126 0.139 0.168 0.187
9.8116e-05 -2.19174 9.00000 1.7291048765 2.5549213886    1.728  1.853  3.8170  3.042    2 0.137 0.793 0.274 0.124 0.114 0.133 0.149
9.8116e-05 -2.19174 9.00000 1.7292621136 2.5549306870    1.728  1.851  3.8029  2.989    2 0.143 0.856 0.324 0.125 0.090 0.098 0.109
9.8116e-05 -2.19174 9.00000 1.7294659615 2.5549428463    1.728  1.846  3.7882  2.934    2 0.155 0.934 0.385 0.133 0.073 0.067 0.074
9.8116e-05 -2.19174 9.00000 1.7297283411 2.5549583435    1.729  1.837  3.7743  2.888    2 0.177 1.028 0.454 0.153 0.069 0.050 0.051
9.8116e-05 -2.19174 9.00000 1.7300460339 2.5549771786    1.729  1.822  3.7617  2.852    2 0.214 1.138 0.535 0.191 0.085 0.053 0.050
9.8116e-05 -2.19174 9.00000 1.7302091122 2.5549869537    1.729  1.814  3.7562  2.839    2 0.236 1.195 0.578 0.213 0.097 0.060 0.055
9.8116e-05 -2.19174 9.00000 1.7302765846 2.5549910069    1.729  1.812  3.7544  2.834    2 0.241 1.211 0.589 0.218 0.099 0.061 0.054
9.8116e-05 -2.19174 9.00000 1.7306127548 2.5550107956    1.730  1.811  3.7472  2.806    2 0.243 1.261 0.618 0.220 0.090 0.043 0.034
9.8116e-05 -2.19174 9.00000 1.7310794592 2.5550384521    1.730  1.829  3.7403  2.760    3 0.198 1.265 0.598 0.176 0.033 -0.021 -0.033
9.8116e-05 -2.19174 9.00000 1.7315417528 2.5550658703    1.731  1.860  3.7367  2.715    3 0.120 1.215 0.534 0.099 -0.050 -0.108 -0.122
9.8116e-05 -2.19174 9.00000 1.7319995165 2.5550930500    1.731  1.893  3.7342  2.672    3 0.039 1.152 0.461 0.018 -0.135 -0.196 -0.211
9.8116e-05 -2.19174 9.00000 1.7324528694 2.5551197529    1.731  1.925  3.7321  2.632    3 -0.043 1.086 0.387 -0.064 -0.220 -0.283 -0.299
9.8116e-05 -2.19174 9.00000 1.7329657078 2.5551500320    1.732  1.963  3.7301  2.586    3 -0.136 1.008 0.301 -0.156 -0.315 -0.381 -0.398
9.8116e-05 -2.19174 9.00000 1.7334100008 2.5551762581    1.732  1.994  3.7286  2.549    3 -0.216 0.940 0.227 -0.235 -0.397 -0.464 -0.481
9.8116e-05 -2.19174 9.00000 1.7334918976 2.5551812649    1.732  2.000  3.7283  2.542    3 -0.231 0.927 0.213 -0.250 -0.412 -0.479 -0.497
9.8116e-05 -2.19174 9.00000 1.7336556911 2.5551908016    1.733  2.012  3.7278  2.528    3 -0.261 0.902 0.186 -0.279 -0.442 -0.510 -0.528
9.8116e-05 -2.19174 9.00000 1.7337834835 2.5551984310    1.733  2.021  3.7274  2.517    3 -0.283 0.882 0.164 -0.302 -0.466 -0.534 -0.552
9.8116e-05 -2.19174 9.00000 1.7342286110 2.5552246571    1.733  2.053  3.7261  2.480    3 -0.362 0.814 0.090 -0.380 -0.546 -0.616 -0.635
9.8116e-05 -2.19174 9.00000 1.7347840071 2.5552575588    1.734  2.092  3.7245  2.435    3 -0.459 0.732 -0.001 -0.477 -0.645 -0.717 -0.737
