Seq   key   Reference   Name                        Simbad_Identifier                  Sci_key  C_key    Loc   type  RA             DEC            vel     vel_bibcode         U_mag   B_mag   V_mag   R_mag   I_mag   J_mag   H_mag   K_mag   Teff   logg   Z     vturb   Li    Be    C    N    O    F    Na   Mg   Al   Si   P    S    K    Ca    Sc    Ti    V     Cr    Mn    Fe    Co    Ni    Cu    Zn   Ga    Ge    As    Se    Rb   Sr    Y     Zr    Nb    Mo    Ru    Rh    Pd    Ag    Cd    Sn   Te    Ba    La    Ce    Pr    Nd    Sm    Eu    Gd    Tb    Dy    Ho    Er    Tm    Yb    Lu    Hf    W     Os    Ir    Pt    Au    Hg   Pb    Bi    Th    U     CaII   TiII   VII   CrII   MnII   FeII  
32    1     JON05       LHS520                      *_nu._Ind                          *        *        *     SG    22_24_36.88419 -72_15_19.486  32.4    2006AstL...32..759G *       5.94    5.29    *       *       4.146   3.586   3.543   5255   3.44   -1.49 1.5     *     *     *    *    7.91 *    4.68 6.53 5.12 6.37 *    *    *    5.2   *     3.79  2.7   *     *     6.01  *     4.71  *     *    *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     0.35  *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
33    1     PRE00       CS22876-021                 2MASS_J00010378-3348157            *        *        *     SG    0_1_3.78       -33_48_15.76   -99     1999AJ....117.2329W *       14.79   14.48   *       *       13.789  13.61   13.48   7250   4      -1.1  2.5     *     *     *    *    *    *    *    7.11 *    *    *    *    *    5.45  2.34  4.27  *     4.53  4.03  6.42  *     *     *     *    *     *     *     *     *    2.53  *     *     *     *     *     *     *     *     *     *    *     1.53  *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
34    2     LAI07       CS22957-022                 2MASS_J00014549-0549465            *        *        *     RG    0_1_45.5       -5_49_46.6     -31.6   2014AJ....147..136R *       13.95   13.34   *       *       11.809  11.391  11.313  5075   2.41   -3.02 *       *     *     5.84 *    *    *    *    *    *    *    *    *    *    *     *     *     *     *     *     4.48  *     *     *     *    *     *     *     *     *    -0.4  *     *     *     *     *     *     *     *     *     *    *     -1.78 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
35    2     LAI08       CS22957-022                 2MASS_J00014549-0549465            *        *        *     RG    0_1_45.5       -5_49_46.6     -31.6   2014AJ....147..136R *       13.95   13.34   *       *       11.809  11.391  11.313  5163   2.47   -2.9  1.6     *     *     5.75 5.2  6.5  *    *    4.93 *    *    *    *    *    3.65  0.3   2.43  1.12  2.44  1.7   4.58  2.28  3.3   *     1.98 *     *     *     *     *    -0.36 -1.05 -0.37 *     *     *     *     *     *     *     *    *     -1.8  *     *     *     *     *     -2.5  *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
36    1     ROE14b      CS22957-022                 2MASS_J00014549-0549465            *        *        *     RG    0_1_45.5       -5_49_46.6     -31.6   2014AJ....147..136R *       13.95   13.34   *       *       11.809  11.391  11.313  4860   1.65   -3.17 1.55    0.63  *     5.32 6.25 6.85 *    *    4.78 2.55 5.04 *    *    *    3.46  -0.11 1.89  0.66  2.22  1.78  4.22  1.71  2.94  *     1.72 *     *     *     *     *    -0.74 -1.68 -0.76 0.24  -0.29 *     *     *     *     *     1.25 *     -2.29 *     -1.31 -1.82 -1.73 -1.51 -2.6  -1.08 -1.72 -1.98 *     -1.53 -2.06 -2.59 *     -0.78 *     *     *     *     *     *    0.77  *     -1.77 *     *      1.9    0.75  2.76   *      4.33  
37    2     ROE10       CS22876-040                 2MASS_J00045244-3413372            R2       *        *     SG    0_4_52.45      -34_13_37.3    -191    1992AJ....103.1987B *       15.49   15.09   15.1    *       14.209  13.996  13.849  6280   3.7    -2.3  1.6     2.09  *     6.79 8.5  7.2  *    *    5.53 3.25 5.56 *    *    *    4.5   0.88  3.17  1.81  3.19  2.7   5.16  2.54  3.93  *     2.38 *     *     *     *     *    0.7   0.12  0.86  *     1.82  *     *     *     *     *     *    *     -0.1  -0.09 0.5   0.5   0.29  0.26  -0.7  0.73  0.26  0.08  0.41  0.3   -0.03 *     *     0.89  *     *     2.46  *     *     *    2.14  *     *     *     *      3.07   1.81  3.54   *      5.27  
38    1     ROE14b      CS22876-040                 2MASS_J00045244-3413372            R2       *        *     SG    0_4_52.45      -34_13_37.3    -191    1992AJ....103.1987B *       15.49   15.09   15.1    *       14.209  13.996  13.849  6090   3.8    -2.21 1.45    1.96  *     6.35 6.35 6.68 *    *    5.45 3.31 5.48 *    *    *    4.41  0.95  2.99  2.03  3.01  2.69  5.03  2.57  3.8   *     2.29 *     *     *     *     *    0.79  0.06  0.69  *     1.58  *     *     *     *     *     *    *     -0.19 -0.3  0.32  -0.06 0.24  0.18  -0.85 0.64  0.13  0.01  0.28  0.17  -0.16 *     *     0.77  *     *     2.2   *     *     *    1.94  *     *     *     *      3.05   2.03  3.57   *      5.29  
39    1     AOK07a      CS29503-010                 2MASS_J00045537-2424193            *        CR       *     MS    0_4_55.38      -24_24_19.31   -24     1992AJ....103.1987B *       14.209  13.737  13.43   13.128  12.726  12.468  12.433  6500   4.5    -1.2  1.9     *     *     8.4  8    *    *    5.23 6.83 *    *    *    *    *    5.41  2.3   4.23  *     4.46  *     6.39  *     5.18  *     3.85 *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     2.61  *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
40    1     LI15a       LAMOSTJ0006+1057            2MASS_J00061720+1057419            *        *        *     RG    0_6_17.203     10_57_41.94    *       *                   *       *       *       *       *       11.004  10.47   10.351  4520   0.6    -3.26 2.2     *     *     4.85 6.05 *    *    3.05 5.01 2.61 4.72 *    *    2.51 3.46  -0.09 1.84  0.96  1.91  1.67  4.24  1.87  2.9   *     1.72 *     *     *     *     *    -2.46 *     *     *     *     *     *     *     *     *     *    *     -2.83 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      1.87   *     *      *      4.24  
41    1     BAR05       HE0005-0002                 2MASS_J00080677+0014089            *        *        *     RG    0_8_6.772      0_14_8.93      -65.4   2005A&A...439..129B *       15.374  14.552  14.031  13.489  12.907  12.367  12.292  4726   1.58   -3.09 1.82    *     *     5.5  *    *    *    *    4.93 2.97 *    *    *    *    3.65  0.2   2.13  *     1.92  2     4.44  2.03  3.26  *     *    *     *     *     *     *    0.1   -0.78 -0.02 *     *     *     *     *     *     *     *    *     -0.91 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
