Seq   key   Reference   Name                        Simbad_Identifier                  Sci_key  C_key    Loc   type  RA             DEC            vel     vel_bibcode         U_mag   B_mag   V_mag   R_mag   I_mag   J_mag   H_mag   K_mag   Teff   logg   Z     vturb   Li    Be    C    N    O    F    Na   Mg   Al   Si   P    S    K    Ca    Sc    Ti    V     Cr    Mn    Fe    Co    Ni    Cu    Zn   Ga    Ge    As    Se    Rb   Sr    Y     Zr    Nb    Mo    Ru    Rh    Pd    Ag    Cd    Sn   Te    Ba    La    Ce    Pr    Nd    Sm    Eu    Gd    Tb    Dy    Ho    Er    Tm    Yb    Lu    Hf    W     Os    Ir    Pt    Au    Hg   Pb    Bi    Th    U     CaII   TiII   VII   CrII   MnII   FeII  
2661  1     COH13       HE0336+0113                 UCAC4_457-004973                   S        CR       *     SG    3_38_52.89     1_23_7.8       66.6    2013ApJ...778...56C *       *       14.96   *       *       13.556  13.18   13.169  5700   3.5    -2.68 1.6     *     *     8.12 6.89 *    *    5.18 5.94 4.13 *    *    *    *    3.91  *     2.73  *     2.76  2.5   4.82  2.39  *     *     *    *     *     *     *     *    1.97  0.96  *     *     *     *     *     *     *     *     *    *     1.98  0.42  1.2   *     0.83  *     -0.99 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    1.55  *     *     *     *      2.45   *     *      *      4.59  
2662  1     COH13       HE1320+0139                 UCAC4_457-051441                   *        *        *     RG    13_22_50.6     1_23_42        64.8    2013ApJ...778...56C *       *       16      *       *       *       *       *       5200   2.6    -2.66 1.4     *     *     5.52 *    *    *    2.62 4.21 2.59 4.22 *    *    *    2.79  -0.22 1.67  *     1.77  1.39  4.12  1.95  3.36  *     *    *     *     *     *     *    -1.43 *     *     *     *     *     *     *     *     *     *    *     -2.57 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      1.67   *     *      *      4.18  
2663  2     BAR05       HE1300+0157                 UCAC4_459-050836                   *        CR       *     RG    13_2_56.243    1_41_52.12     73.4    2013ApJ...778...56C *       14.536  14.11   13.678  13.261  12.809  12.419  12.351  5411   3.38   -3.76 1.43    *     *     5.82 *    *    *    *    4.25 1.9  *    *    *    *    3.1   -0.3  1.62  *     1.56  *     3.76  1.69  2.48  *     *    *     *     *     *     *    *     -0.94 *     *     *     *     *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
2664  2     COH08       HE1300+0157                 UCAC4_459-050836                   *        CR       *     SG    13_2_56.243    1_41_52.12     73.4    2013ApJ...778...56C *       14.536  14.11   13.678  13.261  12.809  12.419  12.351  5632   3.37   -1.3  *       *     *     6.43 5.25 7.13 *    2.44 4.47 2.83 4.64 *    *    *    3.23  -0.12 1.72  *     1.74  1.13  4.06  1.92  2.83  *     *    *     *     *     *     *    -2.05 -1.89 *     *     *     *     *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
2665  2     COH13       HE1300+0157                 UCAC4_459-050836                   *        NO       *     RG    13_2_56.243    1_41_52.12     73.4    2013ApJ...778...56C *       14.536  14.11   13.678  13.261  12.809  12.419  12.351  5550   3.3    -3.49 1.3     *     *     6.19 5.09 6.87 *    2.58 4.43 2.76 4.54 *    *    *    3.14  -0.13 1.68  *     1.66  1.04  4.01  1.82  2.73  0.03  *    *     *     *     *     *    -2.05 *     *     *     *     *     *     *     *     *     *    *     -2.1  *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     3.01   1.68   *     *      1.27   3.89  
2666  1     FRE07       HE1300+0157                 UCAC4_459-050836                   *        NO       *     RG    13_2_56.243    1_41_52.12     73.4    2013ApJ...778...56C *       14.536  14.11   13.678  13.261  12.809  12.419  12.351  5450   3.2    -3.88 1.54    1.06  *     5.89 5.12 6.54 *    2.44 4.1  2.04 4.5  *    *    *    2.98  -0.37 1.77  1.15  1.51  0.89  3.72  1.8   2.61  *     1.63 *     *     *     *     *    -2.64 -0.93 -0.07 *     *     *     *     *     *     *     *    *     -2.56 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
2667  2     COH04       HE0142+0147                 UCAC4_461-002387                   R2       *        *     SG    1_44_47.6      2_2_17         -97.1   2013ApJ...778...56C *       *       15.6    *       *       *       *       *       6250   3.7    -2.5  1.6     *     *     *    *    *    *    *    5.53 3.72 5.16 *    *    *    4.11  *     2.63  *     2.72  2.29  4.83  2.9   3.73  *     *    *     *     *     *     *    0     *     *     *     *     *     *     *     *     *     *    *     -0.81 0.27  *     *     *     *     -0.87 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
2668  1     COH13       HE0142+0147                 UCAC4_461-002387                   R2       *        *     SG    1_44_47.6      2_2_17         -97.1   2013ApJ...778...56C *       *       15.6    *       *       *       *       *       6250   3.7    -2.62 1.6     *     *     *    *    *    *    *    5.46 3.72 5.11 *    *    *    4.11  *     3.04  *     2.71  2.28  4.88  2.9   3.72  *     *    *     *     *     *     *    0.07  *     *     *     *     *     *     *     *     *     *    *     -0.88 0.3   *     *     *     *     -0.87 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      2.66   *     *      *      4.82  
2669  1     COH13       HE1045+0226                 UCAC4_461-048651                   S        CR       *     RG    10_48_3.409    2_10_47.9      214.2   2010AJ....139.1051P *       15      14.47   *       *       12.5    11.997  11.911  5077   2.2    -2.2  1.6     *     *     7.32 *    *    *    4.96 5.66 *    5.71 *    *    3.29 4.31  1.06  3.07  *     3.34  2.95  5.3   *     4.14  *     *    *     *     *     *     *    *     1.25  1.85  *     *     *     *     *     *     *     *    *     1.17  -0.2  *     -0.39 0.02  *     -1.46 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      3.16   *     *      *      5.33  
2670  1     COH13       HE1456+0230                 UCAC4_462-052904                   *        NO       *     HB    14_59_22.6     2_18_16        188     2013ApJ...778...56C *       *       15.23   *       *       *       *       *       5664   2.2    -3.32 2.2     *     *     7.37 7.49 *    *    3.18 4.56 2.99 4.68 *    *    *    3.43  -0.08 1.92  *     2.13  1.47  4.18  2.34  3     *     *    *     *     *     *     *    -0.67 -1.31 *     *     *     *     *     *     *     *     *    *     -1.38 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     3.5    1.92   *     *      1.87   4.38  
2671  1     COH13       HE2236+0204                 UCAC4_462-125965                   *        *        *     RG    22_39_23.5     2_19_49        -166.7  2013ApJ...778...56C *       *       14.89   *       *       *       *       *       5036   2.1    -2.86 1.8     *     *     6.11 *    *    *    3.68 5.18 3.28 5.24 *    *    *    3.81  0.43  2.42  1.2   2.5   1.73  4.64  2.33  3.34  0.23  2.14 *     *     *     *     *    0.31  -0.7  0.13  *     *     *     *     *     *     *     *    *     -1.62 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      2.45   1.2   *      2.04   4.63  
2672  2     AND09       BS16467-062                 UCAC4_540-054307                   *        *        *     RG    13_42_0.632    17_48_40.87    -85     2013MNRAS.434.1681C *       14.69   14.09   13.665  13.216  12.68   12.221  12.198  5200   2.5    -3.77 1.6     *     *     *    *    *    *    *    *    *    *    *    *    *    *     *     *     *     *     *     3.73  *     *     *     *    *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     -2.76 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
2673  2     AND10       BS16467-062                 UCAC4_540-054307                   *        *        *     RG    13_42_0.632    17_48_40.87    -85     2013MNRAS.434.1681C *       14.69   14.09   13.665  13.216  12.68   12.221  12.198  5200   2.5    -3.77 1.6     *     *     *    *    *    *    *    3.95 *    *    *    *    1.85 *     *     *     *     *     *     3.73  *     *     *     *    *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
2674  1     CAY04       BS16467-062                 UCAC4_540-054307                   *        *        *     RG    13_42_0.632    17_48_40.87    -85     2013MNRAS.434.1681C *       14.69   14.09   13.665  13.216  12.68   12.221  12.198  5200   2.5    -4    1.6     0.8   *     5    7.92 8.74 *    2.39 3.97 1.8  4.2  *    *    *    2.94  -0.59 1.43  *     1.49  1.07  3.67  1.7   2.56  *     1.06 *     *     *     *     *    -2.65 -1.53 -1.17 *     *     *     *     *     *     *     *    *     -1.64 -2.6  -2.19 -3.06 -2.27 -2.76 -3.26 -2.65 *     -2.63 -3.51 -2.84 *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
2675  2     COH08       BS16467-062                 UCAC4_540-054307                   *        *        *     RG    13_42_0.632    17_48_40.87    -85     2013MNRAS.434.1681C *       14.69   14.09   13.665  13.216  12.68   12.221  12.198  5364   2.95   -1.6  *       *     *     5.6  5    7.15 *    2.25 4.37 2.72 4.35 *    *    *    3     -0.22 1.72  0.81  1.65  1.06  3.98  2.12  2.93  *     2.09 *     *     *     *     *    -2.32 *     *     *     *     *     *     *     *     *     *    *     -1.91 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
2676  2     COH13       BS16467-062                 UCAC4_540-054307                   *        *        *     RG    13_42_0.632    17_48_40.87    -85     2013MNRAS.434.1681C *       14.69   14.09   13.665  13.216  12.68   12.221  12.198  5364   3      -3.48 1.6     *     *     5.56 5.04 7.09 *    2.46 4.36 2.72 4.35 *    *    *    3.01  -0.14 1.83  0.81  1.66  1.07  4.04  2.13  2.93  -0.01 2.09 *     *     *     *     *    -2.25 *     *     *     *     *     *     *     *     *     *    *     -2.31 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     2.87   1.75   0.81  *      1.44   4.07  
2677  2     LAI07       BS16467-062                 UCAC4_540-054307                   *        *        *     RG    13_42_0.632    17_48_40.87    -85     2013MNRAS.434.1681C *       14.69   14.09   13.665  13.216  12.68   12.221  12.198  5219   2.8    -3.79 *       *     *     5.07 *    *    *    *    *    *    *    *    *    *    *     *     *     *     *     *     3.71  *     *     *     *    *     *     *     *     *    -0.89 *     *     *     *     *     *     *     *     *     *    *     -1.66 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
2678  2     LAI08       BS16467-062                 UCAC4_540-054307                   R2       *        *     RG    13_42_0.632    17_48_40.87    -85     2013MNRAS.434.1681C *       14.69   14.09   13.665  13.216  12.68   12.221  12.198  5388   3.04   -3.7  1.7     *     *     5.25 *    *    *    *    4.06 1.93 4.12 *    *    *    2.89  -0.27 1.71  *     1.46  1     3.76  1.86  2.79  *     *    *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     -2.3  *     *     *     *     *     -2    *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
2679  2     SPI12       BS16467-062                 UCAC4_540-054307                   *        *        *     RG    13_42_0.632    17_48_40.87    -85     2013MNRAS.434.1681C *       14.69   14.09   13.665  13.216  12.68   12.221  12.198  5200   2.5    -3.77 1.6     *     *     *    *    *    *    *    *    *    *    *    *    *    3.22  *     *     *     *     *     3.73  *     *     *     *    *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
2680  1     COH13       BS16550-087                 UCAC4_541-054640                   *        *        *     RG    14_10_26.724   18_1_23.97     -154    2013MNRAS.434.1681C *       14.59   13.76   13.211  12.688  11.912  11.409  11.306  4750   1.3    -3.39 2.5     *     *     4.91 5.34 *    *    2.77 4.83 3.14 4.58 *    *    *    3.19  -0.26 1.84  0.3   1.8   1.04  4.11  1.72  2.53  -0.04 1.77 *     *     *     *     *    0.03  -0.97 -0.25 *     *     *     *     *     *     *     *    *     -2.29 *     *     *     *     *     -2.79 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      1.64   0.3   *      1.15   4.06  
2681  2     LAI07       BS16550-087                 UCAC4_541-054640                   *        *        *     RG    14_10_26.724   18_1_23.97     -154    2013MNRAS.434.1681C *       14.59   13.76   13.211  12.688  11.912  11.409  11.306  4791   1.72   -3.1  *       *     *     4.81 *    *    *    *    *    *    *    *    *    *    *     *     *     *     *     *     4.4   *     *     *     *    *     *     *     *     *    0.6   *     *     *     *     *     *     *     *     *     *    *     -1.95 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
2682  2     LAI08       BS16550-087                 UCAC4_541-054640                   *        *        *     RG    14_10_26.724   18_1_23.97     -154    2013MNRAS.434.1681C *       14.59   13.76   13.211  12.688  11.912  11.409  11.306  4750   1.31   -3.5  2.3     *     *     4.5  5.5  *    *    2.81 4.63 2.33 4.42 *    *    *    3.06  -0.39 1.66  *     1.55  0.9   3.98  1.61  2.64  *     *    *     *     *     *     *    -0.12 -0.98 -0.17 *     *     *     *     *     *     *     *    *     -2.12 *     *     *     *     *     -3    *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
2683  1     COH13       BS16945-054                 UCAC4_621-047707                   R1       *        *     SG    10_50_57.6     34_1_39        -73.5   2013ApJ...778...56C *       *       13.94   *       *       *       *       *       6020   3.7    -2.31 1.6     *     *     *    *    *    *    *    5.65 3.84 5.3  *    *    *    4.25  0.93  3.04  *     3.03  2.77  5.19  2.87  3.83  *     *    *     *     *     *     *    0.54  *     *     *     *     *     *     *     *     *     *    *     -0.42 *     *     *     0.74  *     -0.91 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      3.06   *     *      *      5.17  
2684  2     AOK10       BS16545-089                 UCAC4_635-047506                   *        *        *     SG    11_24_27.515   36_50_28.79    -161.1  2013ApJ...762...25N *       14.76   14.44   14.039  13.812  13.516  13.267  13.202  6320   3.9    -3.49 1.5     2.02  *     *    *    *    *    2.56 4.29 *    *    *    *    *    *     *     *     *     *     *     3.96  *     *     *     *    *     *     *     *     *    -0.91 *     *     *     *     *     *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
2685  2     COH04       BS16545-089                 UCAC4_635-047506                   *        *        *     SG    11_24_27.515   36_50_28.79    -161.1  2013ApJ...762...25N *       14.76   14.44   14.039  13.812  13.516  13.267  13.202  6115   3.6    -3    1.7     *     *     *    *    *    *    *    4.38 2.91 3.88 *    *    *    3.26  -0.29 1.83  *     1.93  1.43  3.9   2.13  2.91  *     *    *     *     *     *     *    -0.9  *     *     *     *     *     *     *     *     *     *    *     -1.38 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
2686  1     COH13       BS16545-089                 UCAC4_635-047506                   *        *        *     SG    11_24_27.515   36_50_28.79    -161.1  2013ApJ...762...25N *       14.76   14.44   14.039  13.812  13.516  13.267  13.202  6115   3.6    -3.53 1.6     *     *     *    *    *    *    *    4.42 2.91 3.88 *    *    *    3.26  -0.22 1.86  *     1.93  1.43  3.97  2.13  2.91  *     *    *     *     *     *     *    -0.83 *     *     *     *     *     *     *     *     *     *    *     -1.38 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      1.86   *     *      *      4.05  
2687  2     LAI08       BS16545-089                 UCAC4_635-047506                   R2       NO       *     MS    11_24_27.515   36_50_28.79    -161.1  2013ApJ...762...25N *       14.76   14.44   14.039  13.812  13.516  13.267  13.202  6500   4.25   -3.5  1.6     *     *     6.7  6.3  *    *    2.76 4.43 2.37 4.11 *    *    *    3.38  0.02  2.29  *     2.08  *     4.07  *     *     *     *    *     *     *     *     *    -0.56 *     *     *     *     *     *     *     *     *     *    *     -1.4  *     *     *     *     *     -1    *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
2688  2     YON13       BS16545-089                 UCAC4_635-047506                   *        NO       *     SG    11_24_27.515   36_50_28.79    -161.1  2013ApJ...762...25N *       14.76   14.44   14.039  13.812  13.516  13.267  13.202  6486   3.82   -3.44 1.4     *     *     6.76 *    *    *    2.64 4.41 *    5.57 *    *    *    3.43  -0.12 *     *     2.07  *     4.06  *     *     *     *    *     *     *     *     *    -0.75 *     *     *     *     *     *     *     *     *     *    *     -1.44 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
2689  1     CAR02       BS17447-029                 UCAC4_751-052500                   *        *        *     MS    17_49_3.8      60_11_53       -205    2013ApJ...778...56C *       14.12   13.57   *       *       *       *       *       6530   4.4    -2.93 1.94    *     *     *    *    *    *    *    4.69 3.06 4.64 *    *    *    3.73  0.51  2.45  *     2.51  1.89  4.59  *     *     *     *    *     *     *     *     *    0.22  *     *     *     *     *     *     *     *     *     *    *     -0.37 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
2690  1     LI15a       LAMOSTJ0257-0022            US_3404                            *        NO       *     MS    2_57_6.92      0_22_33.5      *       *                   *       15.5    *       14.9    *       14.064  13.733  13.761  6330   4.2    -2.24 1.5     *     *     6.95 8    *    *    *    5.45 3.44 5.8  *    *    *    4.38  1.04  3.32  *     3.18  2.65  5.26  3.03  4.07  *     2.71 *     *     *     *     *    1.05  -0.08 *     *     *     *     *     *     *     *     *    *     -0.17 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      3.18   *     *      *      5.25  
2691  1     IVA03       CS22966-043                 V*_BX_Scl                          R2       *        *     SG    23_43_54.454   -28_18_34.5    -277    1999AJ....117.2329W *       13.82   13.56   13      *       13.015  12.87   12.83   7400   3.5    -1.91 2.85    *     *     6.61 6.01 9.29 *    3.78 5.02 3.6  4.67 *    *    *    4.21  0.5   3.6   3.32  4.09  3.89  5.57  3.56  4.88  *     3.78 -0.01 *     *     *     *    0.07  0.84  *     *     *     *     *     *     *     *     *    *     -0.45 2.7   *     *     *     *     -0.2  *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
2692  2     PRE00       CS22966-043                 V*_BX_Scl                          *        *        *     SG    23_43_54.454   -28_18_34.5    -277    1999AJ....117.2329W *       13.82   13.56   13      *       13.015  12.87   12.83   7300   3.7    -1.96 3       *     *     *    *    *    *    *    4.98 *    *    *    *    *    4.05  0.68  3.63  *     4.08  3.76  5.56  *     *     *     *    *     *     *     *     *    -0.17 *     *     *     *     *     *     *     *     *     *    *     0.17  *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
2693  1     PRE00       CS29499-057                 V*_BY_Scl                          *        *        *     MS    23_51_32.25    -25_45_46.53   -18     1999AJ....117.2329W *       14.05   13.85   *       *       13.38   13.318  13.22   7700   4.5    -2.33 2.5     *     *     *    *    *    *    *    5.83 *    *    *    *    *    4.93  1.34  3.33  *     3.39  3.06  5.19  *     *     *     *    *     *     *     *     *    0.34  *     *     *     *     *     *     *     *     *     *    *     -0.2  *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
2694  2     BUR00       HD3008                      V*_CM_Cet                          R1       *        *     RG    0_33_14.3111   -10_43_42.728  -80.9   2006AstL...32..759G *       10.66   9.48    8.84    9.06    7.181   6.603   6.417   4150   0.6    -2    2.2     *     *     *    *    *    *    *    *    *    *    *    *    *    *     *     *     *     *     *     5.5   *     *     *     *    *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     0.28  *     *     *     *     *     -0.65 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
2695  1     LI13        HD3008                      V*_CM_Cet                          *        *        *     RG    0_33_14.3111   -10_43_42.728  -80.9   2006AstL...32..759G *       10.66   9.48    8.84    9.06    7.181   6.603   6.417   4100   0.1    -2.06 1.9     *     *     5.46 *    *    1.67 3.98 6.33 4.21 *    *    *    *    *     *     *     *     *     *     5.44  *     *     *     *    *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *     *     *     -1.21 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
2696  1     ROE14b      CS22886-013                 V*_FV_Aqr                          R1       NO       *     HB    22_12_3        -8_45_46       -32     1992AJ....103.1987B *       13.89   13.94   13.9    *       12.931  12.758  12.791  6200   1.75   -2.6  2.95    1.96  *     7.4  7.5  6.14 *    *    5.48 3.29 5.25 *    *    *    4.15  0.8   2.88  1.78  3     2.75  4.92  2.68  3.94  *     2.82 *     *     *     *     3.24 0.23  -0.65 0.31  1.32  1.62  *     *     *     *     *     *    *     -0.82 *     -0.15 -0.58 -0.31 -0.26 -1.17 0.04  -0.47 -0.41 -0.62 -0.47 -0.84 -1.39 *     0.4   *     *     *     *     *     *    1.96  *     -0.43 *     *      2.74   1.78  3.24   2.65   4.9   
2697  1     SHE03       Car2                        V*_HO_And                          *        *        DW    RG    0_7_22.063     43_55_3.48     *       *                   *       12      *       *       *       5.781   4.91    4.58    4250   0.55   -1.6  2.1     *     *     *    *    7.67 *    4.35 6.21 4.87 6.13 *    *    *    4.96  1.31  3.44  *     4.19  3.46  5.92  *     4.5   *     3.04 *     *     *     *     *    *     0.19  *     *     *     *     *     *     *     *     *    *     0.64  -0.33 *     *     0.07  *     -1.02 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
2698  2     BUR00       HD29574                     V*_HP_Eri                          R1       *        *     RG    4_38_55.73334  -13_20_48.1477 19.94   2008A&A...480...91S 10.91   9.72    8.33    *       *       5.726   5.208   4.84    4250   0      -1.65 1.9     *     *     *    *    *    *    *    *    *    *    *    *    *    *     *     *     *     *     *     5.85  *     *     *     *    *     *     *     *     *    *     0.19  1.38  *     *     *     *     *     *     *     *    *     0.91  -0.21 *     *     -0.15 *     -0.54 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
2699  2     FUL00       HIP21648                    V*_HP_Eri                          *        *        *     RG    4_38_55.73334  -13_20_48.1477 19.94   2008A&A...480...91S 10.91   9.72    8.33    *       *       5.726   5.208   4.84    4300   0.4    -1.7  1.7     *     *     *    *    *    *    4.27 6.41 *    6.09 *    *    *    4.84  *     3.46  2.02  3.68  *     5.64  *     4.28  *     *    *     *     *     *     *    *     *     *     *     *     *     *     *     *     *     *    *     0.82  *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
2700  1     JOH02a      HD29574                     V*_HP_Eri                          RS       *        *     RG    4_38_55.73334  -13_20_48.1477 19.94   2008A&A...480...91S 10.91   9.72    8.33    *       *       5.726   5.208   4.84    4350   0.3    -1.7  2.3     *     *     *    *    *    *    *    6.62 4.21 6.11 *    *    *    4.86  1.35  3.58  1.91  3.58  3.32  5.64  3.14  4.33  *     2.74 *     *     *     *     *    1.24  0.27  1.07  *     *     *     *     *     *     *     *    *     0.54  -0.82 -0.22 *     -0.07 -0.39 -1.15 *     *     *     *     *     *     *     *     *     *     0.19  *     *     *     *    *     *     *     *     *      *      *     *      *      *     
2701  1     PRE00       CS22871-040                 V*_KT_Lib                          *        *        *     MS    14_39_20.001   -20_50_31.62   -41     1999AJ....117.2329W *       12.98   12.72   *       *       12.12   12.036  11.993  7880   4.2    -1.66 2.5     *     *     *    *    *    *    *    6.63 *    *    *    *    *    4.73  1.4   3.71  *     3.74  3.57  5.86  *     *     *     *    *     *     *     *     *    1.47  *     *     *     *     *     *     *     *     *     *    *     0.16  *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
2702  1     SHE03       Car10                       V*_ST_Cas                          R1       *        DW    RG    0_17_32.08266  50_17_14.44    -43     2006AstL...32..759G *       11.28   11.6    *       *       5.01    4.04    3.69    4375   0.4    -1.94 2       *     *     *    *    6.97 *    3.73 5.7  *    5.99 *    *    *    4.4   1.21  3.21  *     3.54  3.03  5.58  2.82  4.23  *     2.46 *     *     *     *     *    *     -0.01 *     *     *     *     *     *     *     *     *    *     0.44  -0.47 *     *     0.13  *     -0.63 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
2703  1     FUL00       HIP57850                    V*_TY_Vir                          *        *        *     RG    11_51_50.11039 -5_45_44.1789  229     1998AJ....115..168C *       9.668   7.97    7.57    *       5.86    5.247   5.046   4375   0.8    -1.6  2.75    *     *     *    *    *    *    4.68 6.25 5.04 6.26 *    *    *    4.81  *     3.53  2.07  3.68  *     5.74  *     4.36  *     *    *     *     *     *     *    *     0.55  *     *     *     *     *     *     *     *     *    *     0.7   *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
2704  1     SHE03       Car4                        V*_UX_Cas                          *        *        DW    RG    0_13_23.292    63_27_31.2     -11     1953GCRV..C......0W *       13.13   9.94    *       *       5.322   3.923   3.41    4200   0.4    -1.59 2.1     *     *     *    *    7.46 *    4.39 6.25 5.08 6.21 *    *    *    4.91  1.22  3.41  *     3.97  3.48  5.93  3.43  4.62  *     2.91 *     *     *     *     *    *     0.27  *     *     *     *     *     *     *     *     *    *     0.56  -0.25 *     *     0.14  *     -0.89 *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
2705  2     BUR00       HD165195                    V*_V2564_Oph                       *        *        *     RG    18_4_40.07138  3_46_44.7255   -0.25   2005A&A...430..165F 9.53    8.59    7.3     6.24    5.43    4.881   4.311   4.03    4450   1.1    -2    1.9     *     *     *    *    *    *    *    *    *    *    *    *    *    *     *     *     *     *     *     5.5   *     *     *     *    *     *     *     *     *    *     -0.18 0.78  *     *     *     *     *     *     *     *    *     0.12  -0.83 *     *     -0.39 *     -1.15 *     *     -0.57 *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
2706  2     HAN12       HD165195                    V*_V2564_Oph                       R1       *        *     RG    18_4_40.07138  3_46_44.7255   -0.25   2005A&A...430..165F 9.53    8.59    7.3     6.24    5.43    4.881   4.311   4.03    4200   0.9    -2.1  2.1     *     *     *    *    *    *    *    *    *    *    *    *    *    *     *     *     *     *     *     5.4   *     *     *     *    *     *     *     *     *    0.58  0.13  0.59  *     *     *     *     -0.73 -1.76 *     *    *     0.66  *     *     *     *     *     -0.7  *     *     *     *     *     *     *     *     *     *     *     *     *     *     *    *     *     *     *     *      *      *     *      *      *     
