HE 2133-1426     21 36 07.2 -14 12 35.4 6350 4.40 1.5 -2.9 -2.89 0 6         
CS 29495-041     21 36 33.3 -28 18 48.6 4740 1.34 1.5 -2.8 -2.74 0 7         
CS 22948-027     21 37 45.8 -39 27 22.3 5011 2.06 1.9 -2.6 -2.45 1 3         
BS 17583-100     21 42 27.8 +26 40 35.5 5950 3.66 1.2 -2.5 -2.53 0 13        
CS 22948-066     21 44 51.2 -37 27 55.0 5077 2.20 1.9 -3.2 -3.20 0 7         
CS 22944-032     21 47 43.2 -13 40 22.8 5293 2.82 1.4 -3.0 -2.98 0 14        
CS 22948-093     21 50 31.5 -41 07 49.3 6609 4.23 1.5 -3.2 -3.17 0 5         
CS 22956-050     21 58 05.8 -65 13 27.1 4844 1.56 1.8 -3.4 -3.39 0 7         
HE 2158-0348     22 00 40.0 -03 34 12.2 5150 2.44 0.6 -2.5 -2.57 1 10        
BS 17569-049     22 04 58.4 +04 01 32.1 4645 1.09 1.7 -2.9 -2.84 0 7         
CS 22965-054     22 06 30.3 -02 32 34.4 6137 3.68 1.5 -3.1 -3.10 0 5, 14     
HE 2209-1240     22 11 48.8 -12 25 45.4 6319 3.84 1.6 -2.6 -2.59 0 9         
CS 22892-052     22 17 01.7 -16 39 27.1 4825 1.54 1.6 -3.1 -3.03 1 7, 13     
CS 22886-042     22 20 25.8 -10 23 20.2 4798 1.48 2.0 -2.8 -2.83 0 3         
CS 29502-042     22 21 48.8 +02 28 44.9 5039 2.09 1.6 -3.3 -3.27 0 7         
CS 29502-092     22 22 36.0 -01 38 27.5 5074 2.21 1.5 -3.0 -2.99 1 14        
HE 2221-0453     22 24 25.6 -04 38 02.2 4430 0.73 1.4 -2.0 -2.00 1 3         
CS 29516-024     22 26 15.4 +02 51 46.3 4637 1.04 1.6 -3.1 -3.05 0 7         
HE 2228-0706     22 31 24.5 -06 50 51.2 5003 2.02 1.6 -2.8 -2.78 1 3         
HE 2232-0603     22 34 47.4 -05 48 17.3 6085 3.85 1.0 -1.5 -1.46 1 10        
CS 29491-053     22 36 56.3 -28 31 06.5 4700 1.21 1.9 -3.0 -3.03 0 7         
CD -24 deg 17504 23 07 20.2 -23 52 35.6 6236 3.70 1.6 -3.4 -3.38 0 15        
CS 22888-031     23 11 32.5 -35 26 42.9 6241 4.47 1.3 -3.3 -3.31 0 5         
CS 30338-089     23 15 50.0 +10 19 26.2 4886 1.72 1.6 -2.8 -2.78 1 3         
HE 2323-0256     23 26 29.8 -02 39 57.9 4958 1.84 1.9 -4.0 -3.97 1 7, 11     
HE 2330-0555     23 32 54.8 -05 38 50.6 4867 1.65 1.6 -3.0 -2.98 1 3         
CS 22966-011     23 35 07.0 -30 22 54.4 6298 4.43 1.3 -3.0 -3.02 0 5         
CS 22952-015     23 37 28.7 -05 47 56.6 4824 1.50 1.9 -3.5 -3.44 0 7, 13     
HE 2341-2029     23 44 19.6 -20 13 19.8 6507 4.29 1.7 -2.6 -2.60 0 9         
CS 29522-046     23 44 59.9 +08 46 52.9 5974 3.72 1.3 -2.1 -2.12 0 14        
HE 2344-2800     23 46 44.4 -27 44 10.7 6624 4.11 1.7 -2.7 -2.65 0 6         
CS 22966-057     23 48 57.8 -29 39 22.9 5364 3.07 1.0 -2.4 -2.43 0 7         
CS 29499-060     23 53 40.3 -26 58 44.0 6595 4.05 1.6 -2.5 -2.50 0 5         
HE 2356-0410     23 59 13.1 -03 53 48.2 5170 2.45 1.4 -3.2 -3.19 1 1, 10     
